Source,Target,IntervalNumber,StartTime,EndTime,Duration,StartOrbit,EndOrbit
WDLeo_2,Ground station 1,1,2023-06-01 00:00:00,2023-06-01 00:01:00,60,1,1
WDLeo_34,Ground station 1,1,2023-06-01 00:00:00,2023-06-01 00:02:00,120,1,1
WDLeo_27,Ground station 1,1,2023-06-01 00:01:00,2023-06-01 00:12:00,660,1,1
WDLeo_1,Ground station 1,1,2023-06-01 00:03:00,2023-06-01 00:14:00,660,1,1
WDLeo_33,Ground station 1,1,2023-06-01 00:12:00,2023-06-01 00:15:00,180,1,1
WDLeo_26,Ground station 1,1,2023-06-01 00:13:00,2023-06-01 00:25:00,720,1,1
WDLeo_8,Ground station 1,1,2023-06-01 00:15:00,2023-06-01 00:27:00,720,1,1
WDLeo_40,Ground station 1,1,2023-06-01 00:24:00,2023-06-01 00:28:00,240,1,1
WDLeo_25,Ground station 1,1,2023-06-01 00:26:00,2023-06-01 00:37:00,660,1,1
WDLeo_7,Ground station 1,1,2023-06-01 00:28:00,2023-06-01 00:39:00,660,1,1
WDLeo_39,Ground station 1,1,2023-06-01 00:37:00,2023-06-01 00:40:00,180,1,1
WDLeo_32,Ground station 1,1,2023-06-01 00:38:00,2023-06-01 00:49:00,660,1,1
WDLeo_6,Ground station 1,1,2023-06-01 00:40:00,2023-06-01 00:52:00,720,1,1
WDLeo_38,Ground station 1,1,2023-06-01 00:50:00,2023-06-01 00:53:00,180,1,1
WDLeo_31,Ground station 1,1,2023-06-01 00:51:00,2023-06-01 01:01:00,600,1,1
WDLeo_5,Ground station 1,1,2023-06-01 00:52:00,2023-06-01 01:04:00,720,1,1
WDLeo_37,Ground station 1,1,2023-06-01 01:02:00,2023-06-01 01:06:00,240,1,1
WDLeo_30,Ground station 1,1,2023-06-01 01:03:00,2023-06-01 01:13:00,600,1,1
WDLeo_4,Ground station 1,1,2023-06-01 01:05:00,2023-06-01 01:17:00,720,1,1
WDLeo_36,Ground station 1,1,2023-06-01 01:15:00,2023-06-01 01:19:00,240,1,1
WDLeo_29,Ground station 1,1,2023-06-01 01:16:00,2023-06-01 01:25:00,540,1,1
WDLeo_3,Ground station 1,1,2023-06-01 01:17:00,2023-06-01 01:29:00,720,1,1
WDLeo_35,Ground station 1,1,2023-06-01 01:27:00,2023-06-01 01:32:00,300,1,1
WDLeo_28,Ground station 1,1,2023-06-01 01:29:00,2023-06-01 01:37:00,480,1,2
WDLeo_2,Ground station 1,2,2023-06-01 01:30:00,2023-06-01 01:41:00,660,1,2
WDLeo_34,Ground station 1,2,2023-06-01 01:40:00,2023-06-01 01:45:00,300,2,2
WDLeo_1,Ground station 1,2,2023-06-01 01:42:00,2023-06-01 01:54:00,720,2,2
WDLeo_27,Ground station 1,2,2023-06-01 01:42:00,2023-06-01 01:49:00,420,2,2
WDLeo_33,Ground station 1,2,2023-06-01 01:52:00,2023-06-01 01:58:00,360,2,2
WDLeo_8,Ground station 1,2,2023-06-01 01:55:00,2023-06-01 02:06:00,660,2,2
WDLeo_26,Ground station 1,2,2023-06-01 01:55:00,2023-06-01 02:00:00,300,2,2
WDLeo_40,Ground station 1,2,2023-06-01 02:04:00,2023-06-01 02:11:00,420,2,2
WDLeo_7,Ground station 1,2,2023-06-01 02:08:00,2023-06-01 02:19:00,660,2,2
WDLeo_39,Ground station 1,2,2023-06-01 02:17:00,2023-06-01 02:24:00,420,2,2
WDLeo_6,Ground station 1,2,2023-06-01 02:20:00,2023-06-01 02:31:00,660,2,2
WDLeo_38,Ground station 1,2,2023-06-01 02:29:00,2023-06-01 02:37:00,480,2,2
WDLeo_5,Ground station 1,2,2023-06-01 02:33:00,2023-06-01 02:43:00,600,2,2
WDLeo_37,Ground station 1,2,2023-06-01 02:41:00,2023-06-01 02:50:00,540,2,2
WDLeo_4,Ground station 1,2,2023-06-01 02:46:00,2023-06-01 02:56:00,600,2,2
WDLeo_36,Ground station 1,2,2023-06-01 02:54:00,2023-06-01 03:03:00,540,2,2
WDLeo_3,Ground station 1,2,2023-06-01 02:59:00,2023-06-01 03:08:00,540,2,2
WDLeo_35,Ground station 1,2,2023-06-01 03:06:00,2023-06-01 03:16:00,600,2,3
WDLeo_2,Ground station 1,3,2023-06-01 03:12:00,2023-06-01 03:20:00,480,3,3
WDLeo_34,Ground station 1,3,2023-06-01 03:18:00,2023-06-01 03:29:00,660,3,3
WDLeo_1,Ground station 1,3,2023-06-01 03:25:00,2023-06-01 03:33:00,480,3,3
WDLeo_33,Ground station 1,3,2023-06-01 03:31:00,2023-06-01 03:42:00,660,3,3
WDLeo_8,Ground station 1,3,2023-06-01 03:38:00,2023-06-01 03:45:00,420,3,3
WDLeo_40,Ground station 1,3,2023-06-01 03:43:00,2023-06-01 03:54:00,660,3,3
WDLeo_14,Ground station 1,1,2023-06-01 03:49:00,2023-06-01 03:54:00,300,3,3
WDLeo_7,Ground station 1,3,2023-06-01 03:51:00,2023-06-01 03:57:00,360,3,3
WDLeo_39,Ground station 1,3,2023-06-01 03:55:00,2023-06-01 04:07:00,720,3,3
WDLeo_13,Ground station 1,1,2023-06-01 04:00:00,2023-06-01 04:07:00,420,3,3
WDLeo_6,Ground station 1,3,2023-06-01 04:04:00,2023-06-01 04:10:00,360,3,3
WDLeo_38,Ground station 1,3,2023-06-01 04:08:00,2023-06-01 04:19:00,660,3,3
WDLeo_12,Ground station 1,1,2023-06-01 04:12:00,2023-06-01 04:20:00,480,3,3
WDLeo_5,Ground station 1,3,2023-06-01 04:17:00,2023-06-01 04:22:00,300,3,3
WDLeo_37,Ground station 1,3,2023-06-01 04:20:00,2023-06-01 04:32:00,720,3,3
WDLeo_11,Ground station 1,1,2023-06-01 04:24:00,2023-06-01 04:33:00,540,3,3
WDLeo_4,Ground station 1,3,2023-06-01 04:30:00,2023-06-01 04:34:00,240,3,3
WDLeo_36,Ground station 1,3,2023-06-01 04:33:00,2023-06-01 04:44:00,660,3,3
WDLeo_10,Ground station 1,1,2023-06-01 04:36:00,2023-06-01 04:46:00,600,3,3
WDLeo_3,Ground station 1,3,2023-06-01 04:43:00,2023-06-01 04:47:00,240,3,4
WDLeo_35,Ground station 1,3,2023-06-01 04:45:00,2023-06-01 04:57:00,720,3,4
WDLeo_9,Ground station 1,1,2023-06-01 04:48:00,2023-06-01 04:58:00,600,4,4
WDLeo_2,Ground station 1,4,2023-06-01 04:56:00,2023-06-01 05:00:00,240,4,4
WDLeo_34,Ground station 1,4,2023-06-01 04:58:00,2023-06-01 05:09:00,660,4,4
WDLeo_16,Ground station 1,1,2023-06-01 05:00:00,2023-06-01 05:11:00,660,4,4
WDLeo_1,Ground station 1,4,2023-06-01 05:09:00,2023-06-01 05:12:00,180,4,4
WDLeo_33,Ground station 1,4,2023-06-01 05:10:00,2023-06-01 05:21:00,660,4,4
WDLeo_15,Ground station 1,1,2023-06-01 05:12:00,2023-06-01 05:24:00,720,4,4
WDLeo_8,Ground station 1,4,2023-06-01 05:21:00,2023-06-01 05:25:00,240,4,4
WDLeo_40,Ground station 1,4,2023-06-01 05:23:00,2023-06-01 05:34:00,660,4,4
WDLeo_14,Ground station 1,2,2023-06-01 05:24:00,2023-06-01 05:36:00,720,4,4
WDLeo_7,Ground station 1,4,2023-06-01 05:34:00,2023-06-01 05:38:00,240,4,4
WDLeo_39,Ground station 1,4,2023-06-01 05:35:00,2023-06-01 05:46:00,660,4,4
WDLeo_13,Ground station 1,2,2023-06-01 05:37:00,2023-06-01 05:49:00,720,4,4
WDLeo_6,Ground station 1,4,2023-06-01 05:47:00,2023-06-01 05:51:00,240,4,4
WDLeo_38,Ground station 1,4,2023-06-01 05:48:00,2023-06-01 05:58:00,600,4,4
WDLeo_12,Ground station 1,2,2023-06-01 05:49:00,2023-06-01 06:01:00,720,4,4
WDLeo_5,Ground station 1,4,2023-06-01 05:59:00,2023-06-01 06:04:00,300,4,4
WDLeo_37,Ground station 1,4,2023-06-01 06:01:00,2023-06-01 06:10:00,540,4,4
WDLeo_11,Ground station 1,2,2023-06-01 06:02:00,2023-06-01 06:13:00,660,4,4
WDLeo_4,Ground station 1,4,2023-06-01 06:12:00,2023-06-01 06:17:00,300,4,4
WDLeo_36,Ground station 1,4,2023-06-01 06:13:00,2023-06-01 06:22:00,540,4,4
WDLeo_10,Ground station 1,2,2023-06-01 06:14:00,2023-06-01 06:26:00,720,4,5
WDLeo_3,Ground station 1,4,2023-06-01 06:24:00,2023-06-01 06:30:00,360,5,5
